protein_pair	probability	status
sp|P07118|SYV_ECOLI-sp|P07118|SYV_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7J7|RL11_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A6Z1|HSCA_ECOLI-sp|P0ACD4|ISCU_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P77718|THII_ECOLI	1.00	target_target
sp|P0A853|TNAA_ECOLI-sp|P0A8F0|UPP_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7N9|RL33_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0ABF1|PCNB_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACJ0|LRP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P21156|CYSD_ECOLI-sp|P23845|CYSN_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0A8V2|RPOB_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P24255|RP54_ECOLI	1.00	target_target
sp|P0A7K6|RL19_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7T7|RS18_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7X3|RS9_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0AA10|RL13_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0A8V2|RPOB_ECOLI	1.00	target_target
sp|P0A707|IF3_ECOLI-sp|P0A7L0|RL1_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0A7N9|RL33_ECOLI	1.00	target_target
sp|P0ADQ7|YGAM_ECOLI-sp|P64581|YQJD_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P76053|SMRA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0AG30|RHO_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P17846|CYSI_ECOLI-sp|P38038|CYSJ_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0C0V0|DEGP_ECOLI-sp|P39099|DEGQ_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P68191|SRA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0AFF6|NUSA_ECOLI	1.00	target_target
rev_sp|P57721|PCBP3_HUMAN-sp|P0A8V2|RPOB_ECOLI	1.00	target_decoy
sp|P0A8T7|RPOC_ECOLI-sp|P0AFF6|NUSA_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P06959|ODP2_ECOLI-sp|P0A9P0|DLDH_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0AFG0|NUSG_ECOLI	1.00	target_target
sp|P0A8F0|UPP_ECOLI-sp|P0ACF8|HNS_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P0AG30|RHO_ECOLI	1.00	target_target
sp|P0ADG7|IMDH_ECOLI-sp|P60560|GUAC_ECOLI	1.00	target_target
sp|P07014|SDHB_ECOLI-sp|P0AC41|SDHA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69908|DCEA_ECOLI	1.00	target_target
sp|P0A7V8|RS4_ECOLI-sp|P0A7W1|RS5_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P06959|ODP2_ECOLI-sp|P0AFG8|ODP1_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P29217|YCEH_ECOLI-sp|P29217|YCEH_ECOLI	1.00	target_target
sp|P0AEU7|SKP_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7V0|RS2_ECOLI	1.00	target_target
sp|P0A910|OMPA_ECOLI-sp|P69776|LPP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P45577|PROQ_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A7V8|RS4_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69910|DCEB_ECOLI,sp|P69908|DCEA_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7K2|RL7_ECOLI-sp|P0A7R1|RL9_ECOLI	1.00	target_target
sp|P0ABA0|ATPF_ECOLI-sp|P0ABB4|ATPB_ECOLI	1.00	target_target
sp|P0A847|TGT_ECOLI-sp|P0AA10|RL13_ECOLI	1.00	target_target
sp|P08839|PT1_ECOLI-sp|P0A8M6|YEEX_ECOLI	1.00	target_target
sp|P29217|YCEH_ECOLI-sp|P32695|DUSA_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG30|RHO_ECOLI	1.00	target_target
sp|P0A7U7|RS20_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P22523|MUKB_ECOLI-sp|P60293|MUKF_ECOLI	1.00	target_target
sp|P0A6R3|FIS_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7R5|RS10_ECOLI	1.00	target_target
sp|P0A800|RPOZ_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P00579|RPOD_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7S9|RS13_ECOLI	1.00	target_target
sp|P0A7U3|RS19_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P30128|GREB_ECOLI	1.00	target_target
sp|P0A8V2|RPOB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0AEU7|SKP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P69222|IF1_ECOLI	1.00	target_target
sp|P0A8N3|SYK1_ECOLI-sp|P0A9G6|ACEA_ECOLI	1.00	target_target
sp|P69908|DCEA_ECOLI-sp|P69910|DCEB_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7S9|RS13_ECOLI	1.00	target_target
sp|P0A8E5|YACL_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|Q46901|CSE1_ECOLI	1.00	target_target
sp|P0AFG6|ODO2_ECOLI-sp|Q9BXR5|TLR10_HUMAN	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69797|PTNAB_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7V8|RS4_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0A800|RPOZ_ECOLI	1.00	target_target
sp|P0AG59|RS14_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P33136|OPGG_ECOLI	1.00	target_target
sp|P60422|RL2_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A7N9|RL33_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P77718|THII_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A7J3|RL10_ECOLI-sp|P0A7K2|RL7_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P09831|GLTB_ECOLI-sp|P09832|GLTD_ECOLI	1.00	target_target
sp|P0AGE9|SUCD_ECOLI-sp|Q9BYF1|ACE2_HUMAN	1.00	target_target
sp|P45577|PROQ_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A7N4|RL32_ECOLI-sp|P0AG44|RL17_ECOLI	1.00	target_target
sp|P0A7L8|RL27_ECOLI-sp|P0C018|RL18_ECOLI	1.00	target_target
sp|P0A7R5|RS10_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A9P0|DLDH_ECOLI-sp|P0AFG6|ODO2_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A9Q5|ACCD_ECOLI-sp|P0ABD5|ACCA_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7R9|RS11_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7K6|RL19_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7X3|RS9_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0A7T7|RS18_ECOLI	1.00	target_target
sp|P09373|PFLB_ECOLI-sp|P29745|PEPT_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7X3|RS9_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7V0|RS2_ECOLI	1.00	target_target
sp|P0A9P0|DLDH_ECOLI-sp|P0AFG8|ODP1_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A9M0|LON_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7R9|RS11_ECOLI	1.00	target_target
sp|P0A7M2|RL28_ECOLI-sp|P0A7R1|RL9_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7U3|RS19_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P00579|RPOD_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A707|IF3_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0A7W7|RS8_ECOLI	1.00	target_target
sp|P0A853|TNAA_ECOLI-sp|P0A9G6|ACEA_ECOLI	1.00	target_target
sp|P00960|SYGA_ECOLI-sp|P00961|SYGB_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A707|IF3_ECOLI	1.00	target_target
sp|P0A7T7|RS18_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A6F5|CH60_ECOLI-sp|P0A817|METK_ECOLI	1.00	target_target
sp|P0AFG3|ODO1_ECOLI-sp|P0AFG6|ODO2_ECOLI	1.00	target_target
sp|P0A9P0|DLDH_ECOLI-sp|P0AFG3|ODO1_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A7R5|RS10_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7N4|RL32_ECOLI-sp|P61175|RL22_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7W1|RS5_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0A7T7|RS18_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A8V2|RPOB_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7M9|RL31_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0C018|RL18_ECOLI	1.00	target_target
sp|P09373|PFLB_ECOLI-sp|P0AD33|YFCZ_ECOLI	1.00	target_target
sp|P0AES4|GYRA_ECOLI-sp|P0AES6|GYRB_ECOLI	1.00	target_target
sp|P0A6F5|CH60_ECOLI-sp|P75949|NAGZ_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0ADQ7|YGAM_ECOLI-sp|P0AEH5|ELAB_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0A7V8|RS4_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P09372|GRPE_ECOLI-sp|P0A6Y8|DNAK_ECOLI	1.00	target_target
sp|P09373|PFLB_ECOLI-sp|P68066|GRCA_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A705|IF2_ECOLI	1.00	target_target
sp|P05055|PNP_ECOLI-sp|P21645|LPXD_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P0A7K2|RL7_ECOLI	1.00	target_target
sp|P0A7U3|RS19_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P67910|HLDD_ECOLI	1.00	target_target
sp|P0A7K2|RL7_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P68191|SRA_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A7K2|RL7_ECOLI-sp|P0AG55|RL6_ECOLI	1.00	target_target
sp|P0A8V2|RPOB_ECOLI-sp|P0AFF6|NUSA_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0AG67|RS1_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0AEH5|ELAB_ECOLI-sp|P64581|YQJD_ECOLI	1.00	target_target
sp|P0A7T7|RS18_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A6X7|IHFA_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P60240|RAPA_ECOLI	1.00	target_target
sp|P0A707|IF3_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7W1|RS5_ECOLI-sp|P0A7W7|RS8_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|Q46901|CSE1_ECOLI	1.00	target_target
sp|P07395|SYFB_ECOLI-sp|P08312|SYFA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A8V2|RPOB_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0C018|RL18_ECOLI	1.00	target_target
sp|P0A879|TRPB_ECOLI-sp|P0A9G6|ACEA_ECOLI	1.00	target_target
sp|P75817|RLMC_ECOLI-sp|P75817|RLMC_ECOLI	1.00	target_target
sp|P0A8W8|YFBU_ECOLI-sp|P0A8W8|YFBU_ECOLI	1.00	target_target
sp|P0A9W0|ULAR_ECOLI-sp|P0A9W0|ULAR_ECOLI	1.00	target_target
sp|P0AEY3|MAZG_ECOLI-sp|P0AEY3|MAZG_ECOLI	1.00	target_target
sp|P0A800|RPOZ_ECOLI-sp|P0A800|RPOZ_ECOLI	1.00	target_target
sp|P75876|RLMI_ECOLI-sp|P75876|RLMI_ECOLI	1.00	target_target
sp|P24228|DACB_ECOLI-sp|P24228|DACB_ECOLI	1.00	target_target
sp|P0A9G4|CUER_ECOLI-sp|P0A9G4|CUER_ECOLI	1.00	target_target
sp|P0AEW9|K1PF_ECOLI-sp|P0AEW9|K1PF_ECOLI	1.00	target_target
sp|P77398|ARNA_ECOLI-sp|P77398|ARNA_ECOLI	1.00	target_target
sp|P0ADV7|MLAC_ECOLI-sp|P0ADV7|MLAC_ECOLI	1.00	target_target
sp|P0A9X4|MREB_ECOLI-sp|P0A9X4|MREB_ECOLI	1.00	target_target
sp|P36673|TRER_ECOLI-sp|P36673|TRER_ECOLI	1.00	target_target
sp|P76594|PKA_ECOLI-sp|P76594|PKA_ECOLI	1.00	target_target
sp|P10443|DPO3A_ECOLI-sp|P10443|DPO3A_ECOLI	1.00	target_target
sp|P68679|RS21_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P65807|YGEY_ECOLI-sp|P65807|YGEY_ECOLI	1.00	target_target
sp|P76193|YNHG_ECOLI-sp|P76193|YNHG_ECOLI	1.00	target_target
sp|P33224|AIDB_ECOLI-sp|P33224|AIDB_ECOLI	1.00	target_target
sp|P0A814|RUVC_ECOLI-sp|P0A814|RUVC_ECOLI	1.00	target_target
sp|P11446|ARGC_ECOLI-sp|P11446|ARGC_ECOLI	1.00	target_target
sp|P0A8N3|SYK1_ECOLI-sp|P0A8N5|SYK2_ECOLI	1.00	target_target
sp|P77316|YBDR_ECOLI-sp|P77316|YBDR_ECOLI	1.00	target_target
sp|P0C7L2|PAAJ_ECOLI-sp|P0C7L2|PAAJ_ECOLI	1.00	target_target
sp|P76290|CMOA_ECOLI-sp|P76290|CMOA_ECOLI	1.00	target_target
sp|P62620|ISPG_ECOLI-sp|P62620|ISPG_ECOLI	1.00	target_target
sp|P30864|YAFC_ECOLI-sp|P30864|YAFC_ECOLI	1.00	target_target
sp|P13458|SBCC_ECOLI-sp|P13458|SBCC_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0C018|RL18_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0A7V0|RS2_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P21499|RNR_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P0A8M6|YEEX_ECOLI	1.00	target_target
sp|P37645|YHJG_ECOLI-sp|P37645|YHJG_ECOLI	1.00	target_target
sp|P25552|GPPA_ECOLI-sp|P25552|GPPA_ECOLI	1.00	target_target
sp|P0A9S3|GATD_ECOLI-sp|P0A9S3|GATD_ECOLI	1.00	target_target
